country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Esmir Bajraktarević,1136110,21.0,175.0,Bosnia & Herzegovina,F,Left,1877472000.0,8199999.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Ricardo Pepi,986395,23.0,185.0,USA,F,Right,1909008000.0,31000000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Couhaib Driouech,1047395,24.0,175.0,Morocco,F,Left,1877472000.0,7100000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Ruben van Bommel,1212550,22.0,191.0,Netherlands,F,Right,1909008000.0,10500000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Ivan Perišić,38710,37.0,187.0,Croatia,M,Both,1814313600.0,1200000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Dennis Man,812145,27.0,182.0,Romania,M,Left,1877472000.0,15700000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Filip Kostić,126588,33.0,184.0,Serbia,M,Left,1845936000.0,1800000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Paul Wanner,1146018,20.0,186.0,Austria,M,Left,1909008000.0,23000000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Joey Veerman,850816,27.0,185.0,Netherlands,M,Right,1845936000.0,26000000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Guus Til,845798,28.0,183.0,Netherlands,M,Right,1845936000.0,15500000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Kodai Sano,1184054,22.0,176.0,Japan,M,Right,1940544000.0,12900000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Alassane Pléa,192308,33.0,180.0,France,M,Right,1845936000.0,2600000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Sven Mijnans,980671,26.0,190.0,Netherlands,M,Left,1940544000.0,16399999.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Noah Fernandez,1886213,18.0,170.0,Belgium,M,Left,1909008000.0,3900000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Isaac Babadi,1120701,21.0,179.0,Netherlands,M,Right,1845936000.0,1400000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Amir Bouhamdi,2266990,18.0,,Morocco,M,,1845936000.0,155000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Joel Van Den Berg,1540010,19.0,187.0,Netherlands,M,Right,1845936000.0,1600000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Sergiño Dest,906021,25.0,173.0,USA,D,Right,1845936000.0,17200000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Adamo Nagalo,1108094,23.0,185.0,Burkina Faso,D,Right,1877472000.0,2900000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Yarek Gasiorowski,1184317,21.0,190.0,Spain,D,Left,1909008000.0,16500000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Ryan Flamingo,1046960,23.0,186.0,Netherlands,D,Right,1877472000.0,14800000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Mauro Júnior,893499,27.0,171.0,Brazil,D,Left,1877472000.0,18600000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
Netherlands,VriendenLoterij Eredivisie,37,61666,PSV Eindhoven,2952,Jerdy Schouten,844234,29.0,185.0,Netherlands,D,Right,1909008000.0,18400000.0,EUR,NED,2024-2025,datafc_sofascore,2026-08-09T08:50:05.753455
