country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Ousmane Dembélé,818244,29.0,178.0,France,F,Both,1845936000.0,97000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Khvicha Kvaratskhelia,889259,25.0,183.0,Georgia,F,Both,1877472000.0,144000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Désiré Doué,1154605,21.0,181.0,France,F,Right,1877472000.0,124000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Bradley Barcola,996952,23.0,182.0,France,F,Right,1845936000.0,87000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Ibrahim Mbaye,1590918,18.0,175.0,Senegal,F,Right,1845936000.0,29000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Quentin Ndjantou,1861665,19.0,182.0,France,F,Right,1845936000.0,8400000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Adam Ayari,1937844,18.0,176.0,France,F,Left,1877472000.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Mamadou Meïté,2350463,17.0,,France,F,Right,,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Noa Bezeme,2271270,19.0,185.0,France,F,Right,1814313600.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Vitinha,902029,26.0,172.0,Portugal,M,Right,1877472000.0,130000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Dro Fernández,1926085,18.0,182.0,Spain,M,Right,1909008000.0,9700000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,João Neves,1190933,21.0,174.0,Portugal,M,Right,1877472000.0,148000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Fabián Ruiz,784655,30.0,189.0,Spain,M,Left,1814313600.0,29000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Senny Mayulu,1473491,20.0,183.0,France,M,Both,1814313600.0,38000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Warren Zaïre-Emery,1142672,20.0,178.0,France,M,Right,1877472000.0,78000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Maghnes Akliouche,1130939,24.0,183.0,France,M,Left,1940544000.0,49000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Renato Sanches,318967,28.0,176.0,Portugal,M,Right,1814313600.0,2100000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Rayan Abo El Nay,1937810,19.0,170.0,France,M,Right,1814313600.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Younes Idder,2046493,18.0,173.0,Morocco,M,Right,1845936000.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Edem Ghalleb,2267142,18.0,185.0,Tunisia,M,Right,1845936000.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Vainqueur Diyinu Nzinga,1937813,18.0,167.0,DR Congo,M,,1814313600.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Abdou Fanne Drame,1590916,19.0,174.0,France,M,Right,1814313600.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Paul Bourdin,2683066,17.0,,France,M,,1814313600.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Achraf Hakimi,814594,27.0,181.0,Morocco,D,Right,1877472000.0,82000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Nuno Mendes,989768,24.0,180.0,Portugal,D,Left,1877472000.0,77000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Marquinhos,155995,32.0,183.0,Brazil,D,Right,1845936000.0,27000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Willian Pacho,979480,24.0,187.0,Ecuador,D,Left,1877472000.0,76000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Lucas Beraldo,1108441,22.0,186.0,Brazil,D,Left,1845936000.0,20000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Ilya Zabarnyi,1023567,23.0,189.0,Ukraine,D,Right,1909008000.0,37000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Lucas Hernández,352370,30.0,183.0,France,D,Left,1845936000.0,18600000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Yoram Zague,1403218,20.0,168.0,France,D,Right,1845936000.0,1700000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,David Boly,1937846,17.0,181.0,France,D,Right,1814313600.0,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Dimitri Lucea,1936801,19.0,189.0,France,D,Left,1814313600.0,2400000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Axel Koukaba,2152905,16.0,192.0,France,D,Left,,,,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
France,Ligue 1,34,52571,Paris Saint-Germain,1644,Matvey Safonov,800749,27.0,191.0,Russia,G,Right,1877472000.0,32000000.0,EUR,FRA,2023-2024,datafc_sofascore,2026-08-09T08:17:50.049039
